"folioSalida","condicionDePago","medioEmbarque","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"A021099",,,"P",1,0,162.79,0,24.42,187.21,,1,1
"A021100",,,"P",1,0,128.4,0,19.26,147.66,,1,1
"A021101",,,"P",1,0,350,0,52.5,402.5,,1,1
"A021102",,,"P",60,0,13856.45,0,2078.47,15934.92,,1,1
"A021103",,,"P",20,0,600.52,0,90.08,690.6,,1,1
"A021104",,,"P",30,0,1862.91,0,279.44,2142.35,,2,2
"A021105",,,"P",69,0,82800,0,12420,95220,,1,1
"A021106",,,"P",5,0,886.43,0,132.96,1019.39,,1,1
"A021107",,,"P",100,0,2060.83,0,309.12,2369.95,,1,1
"A021108",,,"P",994,0,52714.44,0,7907.17,60621.61,,2,2
"A021109",,,"P",1,0,1000,0,150,1150,,1,1
"A021110",,,"P",1,0,63,0,9.45,72.45,,1,1
"A021111",,,"P",21,0,25620,0,3843,29463,,1,1
"A021112",,,"P",1,0,350,0,52.5,402.5,,1,1
"A021113",,,"P",1,0,600,0,90,690,,1,1
"A021114",,,"P",3,0,415.24,0,62.29,477.53,,1,1
"A021115",,,"P",10,0,2560,0,384,2944,,10,10
"A021116",,,"P",2,0,1400,0,210,1610,,1,1
"A021117",,,"P",1,0,1500,0,225,1725,,1,1
"A021118",,,"P",1,0,2300,0,345,2645,,1,1
"A021119",,,"P",60,0,54993.6,0,8249.04,63242.64,,1,1
"A021120",,,"P",1,0,43.3,0,0,43.3,,1,1
"A021121",,,"P",2,0,520,0,78,598,,1,1
"A021122",,,"P",4,0,720,0,108,828,,1,1
"A021123",,,"P",2,0,360,0,54,414,,1,1
"A021124",,,"P",100,0,6580.08,0,987.01,7567.09,,1,1
"A021125",,,"P",40,0,7476.25,0,1121.44,8597.69,,1,1
"A021126",,,"P",80,0,12100.89,0,1815.13,13916.02,,1,1
