"ClaveArticulo","Descripcion","ArticuloTipo","ArticuloGrupo","ArticuloClase","Almacenable","Identificacion","UMedInv","UMedVenta","UMedCpa","Precio","pctDescuento","UbicacionAlmacen","UbicacionClave"
"315-1142R","FARO TSURU III 01-03 C/AJUSTES DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"315-1143L","FARO QUEST / VILLAGER 01-02 C/BASE IZQ","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1800,0,"01","01"
"315-1143R","FARO QUEST / VILLAGER 01-02 C/BASE DER","24FAR","NISSA","MTW","S","Libre","PZA","PZA","PZA",1800,0,"01","01"
"315-1145L","FARO ALTIMA 02-03 IZQ","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",2500,0,,
"315-1145R","FARO ALTIMA 02-03 DER","24FAR","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",2500,0,,
"315-1501L","CUARTO PUNTA TSURU I 84 IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",70,0,"01","01"
"315-1501R","CUARTO PUNTA TSURU I 84 DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",70,0,"01","01"
"315-1502L","CUARTO PUNTA TSURU I 85-87 BLANCO IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",50,0,"01","01"
"315-1502R","CUARTO PUNTA TSURU I 85-87 BLANCO DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",50,0,"01","01"
"315-1503L","CUARTO PUNTA TSURU II 88-91 BICOLOR IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",75,0,"01","01"
"315-1503LC","CUARTO PUNTA TSURU II 88-89 BLANCO IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",70,0,"01","01"
"315-1503LY","CUARTO PUNTA TSURU II 90-91 AMBAR IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",70,0,"01","01"
"315-1503R","CUARTO PUNTA TSURU II 88-91 BICOLOR DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",75,0,"01","01"
"315-1503RC","CUARTO PUNTA TSURU II 88-89 BLANCO DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",70,0,"01","01"
"315-1503RY","CUARTO PUNTA TSURU II 90-91 AMBAR DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",70,0,"01","01"
"315-1504L","CUARTO PUNTA TSURU III 92-93 IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",95,0,"01","01"
"315-1504LAY","CUARTO PUNTA TSURU III 97-99 AMBAR IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",95,0,"01","01"
"315-1504R","CUARTO PUNTA TSURU III 92-93 DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",95,0,"01","01"
"315-1504RAY","CUARTO PUNTA TSURU III 97-99 AMBAR DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",95,0,"01","01"
"315-1506L","CUARTO PUNTA NISSAN PU 90-03 CROM BICOLOR IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"315-1506L2","CUARTO PUNTA NISSAN PU 90-03 PINT BICOLOR IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"315-1506R","CUARTO PUNTA NISSAN PU 90-03 CROM BICOLOR DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"315-1506R2","CUARTO PUNTA NISSAN PU 90-03 PINT BICOLOR DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"315-1510L","CUARTO PUNTA NISSAN PU 87-89 D-21 PINT BICOLOR IZQ","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",180,0,"01","01"
"315-1510R","CUARTO PUNTA NISSAN PU 87-89 D-21 PINT BICOLOR DER","25CTO","NISSA","MTW","S","Libre","PZA","PZA","PZA",180,0,"01","01"
"315-1511L","CUARTO PUNTA MAXIMA 95-96 IZQ","25CTO","NISSA","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
