"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"PVCA81","PVJE96","5159","7","2"
"PVCA81","SDPU81R","5159","7","2"
"PVCA81","TISCPU81R","5159","7","2"
"PVJE96","SDPU81R","5159","7","2"
"PVJE96","TISCPU81R","5159","7","2"
"SDPU81R","TISCPU81R","5159","7","2"
"331-1520L","331-1952R","5223","1","2"
"BTDGC99P","CCCA91","5223","1","2"
"BTDGC99P","DDCPU92CB","5223","1","2"
"BTDGC99P","ELDST95CR","5223","1","2"
"BTDGC99P","SFPU87L","5223","1","2"
"CCCA91","DDCPU92CB","5223","1","2"
"CCCA91","ELDST95CR","5223","1","2"
"CCCA91","SFPU87L","5223","1","2"
"DDCPU92CB","ELDST95CR","5223","1","2"
"ELDST95CR","SFPU87L","5223","1","2"
"331-1111R","332-1117L","5002","8","2"
"331-1111R","332-1117R","5002","8","2"
"332-1117L","332-1117R","5002","8","2"
"333-1104R","DDNPU86CA","5002","8","2"
"333-1104R","SFPU92L","5002","8","2"
"CNPU94","PVJE93","5286","1","2"
"CNPU94","SPCPU99L","5286","1","2"
"PVJE93","SPCPU99L","5286","1","2"
"CCPU92","CDSH89","5223","1","2"
"CCPU92","CDSP90","5223","1","2"
"CCPU92","PDCH91P","5223","1","2"
"CCPU92","SCCA00L","5223","1","2"
"CCPU92","SFWI95R","5223","1","2"
"CDSH89","CDSP90","5223","1","2"
"CDSH89","PDCH91P","5223","1","2"
"CDSH89","SCCA00L","5223","1","2"
"CDSH89","SFWI95R","5223","1","2"
"CDSP90","PDCH91P","5223","1","2"
"CDSP90","SCCA00L","5223","1","2"
"CDSP90","SFWI95R","5223","1","2"
"PDCH91P","SCCA00L","5223","1","2"
"PDCH91P","SFWI95R","5223","1","2"
"SCCA00L","SFWI95R","5223","1","2"
"332-1916L","FNDVO98","5056","8","2"
"332-1916L","SNSE01L","5056","8","2"
"FNDVO98","SNSE01L","5056","8","2"
"332-1920L1","332-1920R1","5234","1","2"
"215-1121L","333-1602R","0008","3","2"
"215-1121L","ELCCH94CR","0008","3","2"
"215-1121L","SFRA89L","0008","3","2"
"333-1602R","ELCCH94CR","0008","3","2"
"333-1602R","SFRA89L","0008","3","2"
"ELCCH94CR","SFRA89L","0008","3","2"
"CCCA91","PDPU94C","5453","1","2"
"CDPU94","PDPU94C","5453","1","2"
"BTDSH92F","CDSH91","5223","1","2"
"BTDSH92F","SHCI99R","5223","1","2"
"CDSH91","CDSP90","5223","1","2"
"CDSH91","DDCS1091CB","5223","1","2"
"CDSH91","DTDNE94","5223","1","2"
"CDSH91","SCCH94R","5223","1","2"
"CDSP90","CFPU97A","5223","1","2"
"CDSP90","DTDNE94","5223","1","2"
"CDSP90","SCCH94R","5223","1","2"
"CFPU97A","DDCS1091CB","5223","1","2"
"CFPU97A","DTDNE94","5223","1","2"
"CFPU97A","SCCH94R","5223","1","2"
"DTDNE94","SCCH94R","5223","1","2"
"SDSP90L","SFTO89L4","5130","1","2"
"CCGP97","CCPU92","5130","1","2"
"CCPU92","CCSU97","5130","1","2"
"CCPU92","CFCN98","5130","1","2"
"331-1518L","341-1603R","5827","2","2"
"331-1518L","ELCSU92R","5827","2","2"
"331-1518L","MECDPU81C","5827","2","2"
"341-1603R","ELCSU92R","5827","2","2"
"341-1603R","MECDPU81C","5827","2","2"
"ELCSU92R","MECDPU81C","5827","2","2"
"BFPU92CL","BFPU92CR","5669","6","2"
"333-1501L","333-1602R","5210","8","2"
"216-1906L","216-1906R","5851","5","2"
"BFFPU79L","BFFPU79R","5669","6","2"
"BFEX91CL","BFEX91CR","5107","1","2"
"DTCCA91","DTDST95","5223","1","2"
"DDCCH02","DDCCH94","0007","3","2"
"DDCCH02","PDSP94C","0007","3","2"
"DDCCH02","PFTO88","0007","3","2"
"DDCCH94","PDSP94C","0007","3","2"
"DDCCH94","PFTO88","0007","3","2"
"PDSP94C","PFTO88","0007","3","2"
"DDNT392N","RDNT392","0106","3","2"
"333-1101L","333-1101R","5226","7","2"
"CNPU73","SNPU73L","5633","2","2"
"CNPU73","SNPU73R","5633","2","2"
"PCS1095C","PCS1095P","5633","2","2"
"PCS1095C","PCS1098P","5633","2","2"
"PCS1095P","PCS1098P","5633","2","2"
"SNPU73L","SNPU73R","5633","2","2"
"CDSP90","CDST01","5130","1","2"
"CDSP90","HDCPU92","5130","1","2"
"MIMPU86C","MIMPU86G","5852","6","2"
"MRNPU94","MRNT392","5702","2","2"
"MRNPU94","SNPU94L","5702","2","2"
"MRNT392","SNPU94L","5702","2","2"
"332-1167L","CNPU94","5702","2","2"
"332-1167L","DDDNE00","5702","2","2"
"332-1167L","DDNT392G","5702","2","2"
"332-1167L","DTNT392N","5702","2","2"
"332-1167L","FNDNE00R","5702","2","2"
"332-1167L","MRNT392","5702","2","2"
"332-1167L","TSDCPU94","5702","2","2"
"CNPU94","DDDNE00","5702","2","2"
"CNPU94","DDNT392G","5702","2","2"
"CNPU94","DTNT392N","5702","2","2"
