"Articulo1","Articulo2","FoliosJuntos"
"BFPU79CL","BFPU79CR","3"
"BFEX91CR","BFPU92PR","3"
"8070001W00","8070087G00","3"
"8070087G00","8070101W00","3"
"8070001W00","8070187G00","3"
"8070087G00","8070187G00","3"
"8070101W00","8070187G00","3"
"MECCPU81C","MECNPU81","3"
"MECCPU81C","MECNPU94","3"
"MECNPU81","MECNPU94","3"
"MICAS85L","MICAS85R","3"
"MICPU92CR","MICPU95GL","3"
"MICPU92CL","MICPU95GR","3"
"MICPU92CR","MICPU95GR","3"
"MICPU95AL","MICPU95RL","3"
"MICPU95AR","MICPU95RL","3"
"MICPU95GL","MICPU95RL","3"
"MICPU95GR","MICPU95RL","3"
"MICPU95AL","MICPU95RR","3"
"MICPU95AR","MICPU95RR","3"
"MICPU95GL","MICPU95RR","3"
"MICPU95GR","MICPU95RR","3"
"MIMPU86C","MIMPU86G","3"
"ADNPU84CL","ADNPU84NL","3"
"ADNPU84NL","ADNPU84NR","3"
"ADNPU93CAL","ADNPU93CAR","3"
"DDNPU86CA","DDNT184","3"
"DDNT184","DDNT288A","3"
"DDNT184","DDNT392N","3"
"DDNT392G","DDNT392N","3"
"BFEX91CL","BFEX91PL","3"
"BFEX91PL","BFEX91PR","3"
"CCSU97","CDSP90","3"
"BTCCU88F","DTFTO89","3"
"SDAT01L","SDAT01R","3"
"BTFGH92F","DDCCA91","3"
"ELNPU86CL","ELNPU86CR","3"
"331-1163L","331-1163R","3"
"CFFI00","SFPU92L","3"
"ELFEP97ECL","ELFEP97ECR","3"
"BTFGH92F","CDSH91","3"
"CCCU87","CDSP90","3"
"CCGP97","CDSP90","3"
"CNT392","SNPU73R","3"
"CNT392","SNPU81L","3"
"CNPU81","SNPU81R","3"
"CNT288","SNPU81R","3"
"CNT392","SNPU81R","3"
"PNPU86","SNPU81R","3"
"CNPU81","SNPU94L","3"
"SNPU73L","SNPU94L","3"
"CNPU81","SNPU94R","3"
"CNT288","SNPU94R","3"
"CNT392","SNPU94R","3"
"SNPU73R","SNPU94R","3"
"PNPU86","SNT184L","3"
"PNPU86","SNT184R","3"
"CNT392","SNT290L","3"
"SNPU73R","SNT290L","3"
"CNPU94","SNT392R","3"
"BNT185L","PCS1093C","3"
"BNT185L","PNPU94C","3"
"PCS1093C","PNPU94C","3"
"BNT185L","PNPU94P","3"
"PCS1093C","PNPU94P","3"
"DDNT288A","PNT392","3"
"PCS1091P","PCS1095C","3"
"MRNT392","SNPU94L","3"
"SCCA90L","SDGC93L","3"
"SCCA90L","SDNE94R","3"
"SFCN96L","SFEX95R","3"
"CDST01","SFPU97L","3"
"PNT394","PTPU89P","3"
"PTPU84P","PTPU89P","3"
"BCPU89CUL","BCPU89CUR","3"
"BCPU89CHR","BCPU89GML","3"
"PCPU85","PCPU89CH","3"
"PCPU89CH","PCPU89GM","3"
"PCPU89CU","PCPU89GM","3"
"PCPU85","PCPU96CH","3"
"PFPU87P","PFPU92C","3"
"PCPU89CH","PFPU92P","3"
"PMPU86C","PMPU86P","3"
"212-1552R1","341-1603L","3"
"341-1602L","341-1603L","3"
"341-1602R","341-1603L","3"
"212-1552R1","341-1603R","3"
"331-1916L","331-1916R","3"
"332-1920L1","332-1920L2","3"
"333-1909L","333-1909R","3"
"BCPU81CHL","BCPU81CHR","3"
"BCPU81CUL","BCPU81CUR","3"
"PNPU94P","PNT185","3"
"PNT185","PNT288","3"
"PNT185","PNT290","3"
"PNT288","PNT290","3"
"PNT290","PNT301","3"
"PNT290","PNT392","3"
"PNT301","PNT392","3"
"PNT290","PNT394","3"
"PNT301","PNT394","3"
"PNT392","PTPU84P","3"
"14033613","14033614","3"
"MIFRA83L","MINPU81","3"
"PCS1095C","PCS1095P","3"
"PCS1095C","PCS1098P","3"
"SCCA95L","SCCA95R","3"
"SCCA90L","SCCU87L","3"
"SCCU87L","SCCU89R","3"
"SCCA90L","SCS1095L","3"
"CFPU80","SCPU99R","3"
"CFPU92","SCPU99R","3"
"FNCPU92L","FNCPU92R","3"
"221-1110L","BTPU79RL","3"
"221-1110R","BTPU79RL","3"
"221-1110L","BTPU79RR","3"
"221-1110R","BTPU79RR","3"
"BTFGH92F","DTFTO89","3"
"BTFTO89F","DDFTO89","3"
"DDFTO89","DDFTO92","3"
"DDFTO92","DDVGO93","3"
"DDVGO92","PVGO93","3"
"331-1618L","331-1618R","3"
"332-1539L","332-1539R","3"
"333-1513L","333-1615R","3"
"CPDVO84L","CPDVO84R","3"
"CNPU73","SCPU99L","3"
"ELDDU98EL","ELNT288L","3"
"ELDDU98ER","ELNT288L","3"
"CDSH91","PFPU97CUC","3"
"CCPU92","PDPU94C","3"
"DDCPU92CB","DDFPU92CB","3"
"DDCPU99C","DDFPU92CB","3"
"DDFPU92CB","SPCPU99V","3"
"SFPU87L","SNT184R","3"
"332-1660L","332-1660R","3"
"331-1612L","333-1505L","3"
"331-1612L","333-1505R","3"
"331-1510L","331-1510R","3"
"331-1509R","331-1515L","3"
"331-1515L","331-1531L","3"
"315-1101L","331-1106L","3"
"315-1101L","331-1107L","3"
"331-1106L","331-1107L","3"
"331-1106R","331-1107R","3"
"331-1107L","331-1111L","3"
"331-1107R","331-1111R","3"
"331-1106R","331-1129L","3"
"331-1106L","FNPU94L","3"
"331-1106R","FNPU94L","3"
"331-1129L","FNPU94L","3"
"331-1129R","FNPU94L","3"
"331-1106L","FNPU94R","3"
"331-1106R","FNPU94R","3"
"331-1129L","FNPU94R","3"
"331-1129R","FNPU94R","3"
"332-1612L","332-1612R","3"
"332-1612R","332-1615L","3"
"MEPCS1082CR","MEPCS1082R","3"
"MIFEX91L","MIFEX91R","3"
"MIFPU80CL","MIFPU87NL","3"
"MIFPU80CR","MIFPU87NL","3"
"MIFPU80CL","MIFPU87NR","3"
"MIFPU80CR","MIFPU87NR","3"
"MIFPU87NL","MIFPU87NR","3"
"MINPU81","MINPU94","3"
"MEPCPU92L","MEPCPU95L","3"
"MEPCPU92R","MEPCPU95L","3"
"MEPCPU92L","MEPCPU95R","3"
"MEPCPU92R","MEPCPU95R","3"
